"Beta_n_3","Beta_n_5","Beta_n_30"
0.467709425854138,0.4274908263545,0.458002083545413
0.432196353640037,0.461821515224915,0.440695455540021
0.430221446905753,0.45620466116695,0.457052478441015
0.514341427240292,0.43282453573731,0.462114665568375
0.491898746903222,0.392306455863846,0.435502538219181
0.491759004524253,0.373010374901499,0.44178844091686
0.448067540295365,0.47798194511424,0.457863886867596
0.369124354557386,0.392247575507997,0.442243720487894
0.430655354416379,0.442724820177138,0.454137873761371
0.405860288898775,0.483240608618769,0.485771464491801
0.427612313993528,0.511230832549185,0.460620267883992
0.432626843372718,0.414118584802062,0.437871454290298
0.426973920016457,0.462641715718367,0.448094239680375
0.431040429199393,0.4955760750123,0.452407810861697
0.398356955366794,0.450039496379059,0.453442770261807
0.380281489614716,0.468730776189485,0.471624827117663
0.437899773175462,0.472004404602696,0.454459250252543
0.334004625731379,0.423538880538634,0.447171906954211
0.445096164306487,0.450150058334219,0.473924545210867
0.497139160494247,0.406678137897828,0.473165509523643
0.496146541790331,0.415535782923865,0.452550264648632
0.462243949776201,0.470730983745738,0.455102474514412
0.40330009142036,0.44111202353966,0.451732947800177
0.407458190272985,0.520490440496528,0.429949402054066
0.386271291057626,0.46712732743623,0.455522161080108
0.464148889582088,0.481191524958608,0.452630801310625
0.452297168432605,0.446613475206356,0.466453162390186
0.438178405387647,0.451719184220063,0.43828535844221
0.477457231769829,0.432656420413908,0.452718582021065
0.508687518317037,0.463809921618287,0.45181492670805
0.439931535058764,0.438022895057211,0.460506860513409
0.442480746248142,0.466633317869718,0.432323737479166
0.4229178223426,0.46632503671398,0.456135848181075
0.473185981615909,0.428259789557212,0.456283659104867
0.400112712719135,0.426361330454991,0.437212427182972
0.396239885580334,0.432175645135392,0.454912870783811
0.3981950745097,0.407226977075208,0.443544221251377
0.417173482319487,0.431721858258002,0.452197939837213
0.460142481541866,0.416982589683143,0.465073668406504
0.425006580167785,0.450015606940426,0.430813565583795
0.436746695509179,0.455722873042184,0.437002414599344
0.433853413454874,0.437267170151135,0.452381940592562
0.489935411124325,0.420293560098336,0.469076467355671
0.437682525984328,0.482654178787658,0.458306731183967
0.406692766259221,0.456624834031972,0.430283419434067
0.431797417083583,0.498791939476295,0.46461844165985
0.389672865693366,0.446475318898572,0.454443880046973
0.330965588869859,0.444231156019805,0.429870225586966
0.508634810915782,0.45006760959546,0.452488191854045
0.43119365825288,0.3985261294315,0.463637604191245
0.482341880307464,0.435133941324346,0.43816636484803
0.4744024006741,0.437481485152993,0.455378112496224
0.460267023820049,0.509510488046106,0.451039888966088
0.479378285170092,0.451322357833247,0.429992818677224
0.369047795136901,0.48168709936278,0.463355206417839
0.511249509260108,0.492271008673343,0.460941706928097
0.555555836145854,0.377052797294349,0.46863854153009
0.449384485554828,0.422964496620229,0.445244445366278
0.445460258139395,0.444594892104211,0.459242102344694
0.447241847746517,0.434628519258953,0.449653504973801
0.36747327922261,0.402605318181477,0.450850144831492
0.414197225454927,0.419490111569255,0.429942928538754
0.407994421757997,0.411517437951976,0.465724217154625
0.426135711734582,0.467600313973595,0.454754569719794
0.365237748086921,0.420581306771074,0.435262171934939
0.375533865556621,0.480934685490301,0.433138711012364
0.467807049095135,0.410559741915702,0.460299689322685
0.47769870838724,0.443209956095295,0.452240019883137
0.463107711638415,0.460661572649718,0.461248556849268
0.512627999001709,0.411271623837836,0.472393511317848
0.417843003247586,0.42585553772299,0.432773443718963
0.448677818751444,0.438406625731784,0.460203075512744
0.420577238766072,0.425729017872924,0.44681533954353
0.491420303671476,0.451706819430207,0.467927792050687
0.509757658597338,0.447711138134401,0.460828134494399
0.525907392499058,0.524273166697998,0.44893786309714
0.445934795560428,0.485574097619832,0.46140978173391
